video_titles,video_url,source
SE LE ACABA EL TIEMPO! DEJAN SOLO A GOBER DE TAMAULIPAS! AMLO EXIGE RESPUESTA A CORTE NOTICIA MEXICO,https://www.youtube.com/watch?v=bhUjbEWbZGY,el chapucero today
NO VAS A CREER LO QUE HIZO EL GOBER EN TAMAULIPAS! Y CONGRESO SE REBELA. PERDIERON LA CABEZA! MEXICO,https://www.youtube.com/watch?v=Eu5f7RNWHJ4,el chapucero today
"EL PRINCIPIO DEL FIN! GERTZ CONSIGUE ORDEN DE ARRESTO, LE CAEN A CABEZA DE VACA! NO LO ESPERABA",https://www.youtube.com/watch?v=XmZQn1s9clU,el chapucero today
"ESTO NO LO VAS A CREER! LORENZO SE EQUIVOCÓ Y SOLTÓ LA SOPA, PLAN CONTRA AMLO! INE. DE ULTIMA HORA",https://www.youtube.com/watch?v=OSxf1jq5mUs,el chapucero today
"HACE MOMENTOS! SORPRENDEN A GOBER, AMLO Y 4T LO CACHAN ENTREGANDO LANA! SE HUNDIÓ SOLO. MEXICO",https://www.youtube.com/watch?v=2jAAHdf5v4o,el chapucero today
"HACE MOMENTOS! LORENZO PIERDE LA CABEZA, NO VAS A CREER LO QUE HIZO A GERTZ! SE HUNDIO SOLO. MEXICO",https://www.youtube.com/watch?v=4sOJr8EWOiA,el chapucero today
"ESTO ACABA DE PASAR! CANDIDATO DEL PRI SE PELA A EEUU, HUYE DE GERTZ! ASI LO EXHIBIERON. HOY MEXICO",https://www.youtube.com/watch?v=1NXnXz9GxMQ,el chapucero today
"ESTO ACABA DE PASAR! LORENZO METE MANO A PREP, AMLO RECIBIÓ TERRIBLE NOTICIA! INE MEXICO",https://www.youtube.com/watch?v=ZawHpnkCCS0,el chapucero today
ESTO ACABA DE PASAR! LORENZO PIERDE CONTROL DEL INE! CONSEJEROS SE REBELAN. NO LO ESPERABA MEXICO,https://www.youtube.com/watch?v=wpKdPlAHyrA,el chapucero today
ESTO ACABA DE PASAR! EJERCITO RESGUARDA BOLETAS EN INE! 4T Y AMLO DOBLAN A LORENZO. NOTICIA MEXICO,https://www.youtube.com/watch?v=TfYJQaAaI6s,el chapucero today
ESTO ACABA DE PASAR! CALLARÁN A LORENZO EN INE! METEN REFORMA. DECISIÓN AMLO CAMBIARÁ TODO. MEXICO,https://www.youtube.com/watch?v=yJKwsvDTPYs,el chapucero today
ESTO ACABA DE PASAR! AMLO PONE EN JAQUE LORENZO CON IMPACTANTE REVELACIÓN. DESCUBRE LA TRAMPA MEXICO,https://www.youtube.com/watch?v=rHIxlKdULuw,el chapucero today
ESTO ACABA DE PASAR! TESTIGO HACE IMPACTANTE REVELACIÓN! ESTO PASÓ ANTES DE CAER EL METRO. MEXICO,https://www.youtube.com/watch?v=FxCHMtkaWnE,el chapucero today
ESTO ACABA DE PASAR! AMLO RECIBIÓ GRAN NOTICIA! BLOQUEAN A JUECES ANTI 4T. NO LO ESPERABAN. MEXICO,https://www.youtube.com/watch?v=y5hSCnNZSlo,el chapucero today
ESTO ACABA DE PASAR! FGR INICIA CACERIA DE CABEZA DE VACA! DESPLIEGAN ELEMENTOS. GRAN NOTICIA MEXICO,https://www.youtube.com/watch?v=wOaycyWwNB0,el chapucero today
"ESTO ACABA DE PASAR! CABEZA DE VACA ORDENA REBELIÓN, SE VA CONTRA AMLO. NO LO VAS A CREER. MEXICO",https://www.youtube.com/watch?v=om3VJTS6qZA,el chapucero today
"ESTO ACABA DE PASAR! ZALDIVAR CONTROLARÁ EL INE, AMLO YA LO DECIDIÓ! ESTO CAMBIARÁ TODO. MEXICO",https://www.youtube.com/watch?v=Ae0YmRZDntM,el chapucero today
ESTO ACABA DE PASAR! LUZ VERDE CONTRA LORENZO! SE ACABÓ LA PACIENCIA DE AMLO! NO LO VIO VENIR MEXICO,https://www.youtube.com/watch?v=R_ZCkkw1PjQ,el chapucero today
ESTO ACABA DE PASAR! TRIBUNAL QUITA CANDIDATURA A FELIX! LORENZO SE SALIO CON LA SUYA. MEXICO,https://www.youtube.com/watch?v=CeZil51hkiE,el chapucero today
"ESTO ACABA DE PASAR! ACABAN CON PACIENCIA DE OBRADOR, JUECES SE PONEN RUDOS. NO LO ESPERABAN. MEXICO",https://www.youtube.com/watch?v=Ao7tuEsNPG0,el chapucero today
